iter	MultiClass
0	4.347459268
1	4.305816356
2	4.269036686
3	4.232127105
4	4.202859883
5	4.169973412
6	4.138016035
7	4.106759225
8	4.071898149
9	4.040047343
10	4.010761054
11	3.972221187
12	3.93909466
13	3.911192418
14	3.882319859
15	3.851892046
16	3.825986356
17	3.792117676
18	3.765268077
19	3.741583198
20	3.713867661
21	3.690276196
22	3.657253029
23	3.63091338
24	3.60362703
25	3.575146466
26	3.55121025
27	3.523212964
28	3.498934753
29	3.478705999
30	3.459933166
31	3.435643
32	3.416417724
33	3.390229936
34	3.368347706
35	3.347969787
36	3.327944851
37	3.307272138
38	3.288137047
39	3.267517247
40	3.248080672
41	3.229065773
42	3.212459615
43	3.195767334
44	3.177856966
45	3.161009267
46	3.14272593
47	3.125444059
48	3.108096611
49	3.093407048
50	3.075278792
51	3.057825081
52	3.040358111
53	3.022145432
54	3.00750673
55	2.992906134
56	2.975879843
57	2.958913173
58	2.942433723
59	2.928126189
60	2.912639673
61	2.896326088
62	2.880960264
63	2.864783124
64	2.851340263
65	2.836761916
66	2.820874619
67	2.807945418
68	2.79371099
69	2.781502768
70	2.767764066
71	2.753621042
72	2.740433324
73	2.726683842
74	2.713236622
75	2.702225767
76	2.687793006
77	2.676471495
78	2.663696259
79	2.649644495
80	2.636345533
81	2.624938733
82	2.613862005
83	2.601792184
84	2.58785279
85	2.578449332
86	2.566668205
87	2.555276434
88	2.541412822
89	2.529281342
90	2.518645895
91	2.507282944
92	2.498767168
93	2.488918893
94	2.478903841
95	2.467984447
96	2.456451824
97	2.447286074
98	2.437613449
99	2.427526646
100	2.417181837
101	2.407529474
102	2.396645902
103	2.387556348
104	2.378513609
105	2.369767048
106	2.359359927
107	2.350034983
108	2.342515045
109	2.332532002
110	2.322662528
111	2.311928981
112	2.300836979
113	2.29154439
114	2.282108334
115	2.272176753
116	2.264788661
117	2.259379846
118	2.253078202
119	2.243536382
120	2.237053234
121	2.229877558
122	2.219484662
123	2.210510258
124	2.202199088
125	2.194737081
126	2.187968116
127	2.180317776
128	2.17248975
129	2.165235135
130	2.15715832
131	2.149561668
132	2.144079245
133	2.138730363
134	2.131634086
135	2.125489826
136	2.119459727
137	2.113625557
138	2.106251606
139	2.099493047
140	2.092858978
141	2.083559189
142	2.076216911
143	2.069422356
144	2.062203694
145	2.055758241
146	2.048604567
147	2.04039184
148	2.032943446
149	2.027436472
150	2.020133743
151	2.011482399
152	2.007218836
153	2.001542066
154	1.996646834
155	1.990643791
156	1.983328992
157	1.975139613
158	1.968466824
159	1.964285233
160	1.957904001
161	1.952667996
162	1.949970076
163	1.941609267
164	1.934996411
165	1.927247581
166	1.921176229
167	1.916212101
168	1.911234154
169	1.90353566
170	1.897553428
171	1.891010698
172	1.8835984
173	1.879093373
174	1.872917362
175	1.866496799
176	1.860718943
177	1.855612916
178	1.849708033
179	1.843751493
180	1.83906989
181	1.83370646
182	1.826315857
183	1.821543889
184	1.816865318
185	1.812710143
186	1.807624295
187	1.800760608
188	1.794782128
189	1.786854944
190	1.783562771
191	1.777753466
192	1.769946104
193	1.764096614
194	1.759503052
195	1.75425721
196	1.749139165
197	1.744748661
198	1.740844733
199	1.735257916
200	1.72981519
201	1.723587349
202	1.717140702
203	1.712118603
204	1.705934353
205	1.70036083
206	1.697351729
207	1.690403527
208	1.687187108
209	1.684744558
210	1.679633207
211	1.675180451
212	1.66977787
213	1.666469589
214	1.661403149
215	1.655364537
216	1.652881863
217	1.648346502
218	1.643638463
219	1.639754414
220	1.63619446
221	1.63212421
222	1.626971608
223	1.622382486
224	1.616464812
225	1.610903135
226	1.606948305
227	1.602483608
228	1.598077594
229	1.593041132
230	1.588473486
231	1.584852652
232	1.579407856
233	1.576721485
234	1.571275825
235	1.567239267
236	1.562192475
237	1.556811976
238	1.550485769
239	1.546817937
240	1.542569297
241	1.540030111
242	1.534941301
243	1.530644774
244	1.525871304
245	1.520595504
246	1.515726521
247	1.511780126
248	1.509082281
249	1.505629709
250	1.501149613
251	1.498273711
252	1.49333045
253	1.487596086
254	1.482877965
255	1.476726617
256	1.472397625
257	1.46888309
258	1.465348437
259	1.460211468
260	1.454221066
261	1.450817046
262	1.445691527
263	1.441105546
264	1.437687657
265	1.433305328
266	1.429531661
267	1.427451875
268	1.423086718
269	1.420177401
270	1.417463881
271	1.412849119
272	1.408229683
273	1.403454504
274	1.399076972
275	1.395771968
276	1.392341342
277	1.388857708
278	1.38506004
279	1.381281165
280	1.378356748
281	1.373374081
282	1.372034296
283	1.367914369
284	1.363855444
285	1.361234521
286	1.358906382
287	1.353943224
288	1.349825249
289	1.346973226
290	1.342845523
291	1.339043242
292	1.334760099
293	1.331207785
294	1.326828079
295	1.322961098
296	1.31865791
297	1.316589528
298	1.313028953
299	1.309523954
300	1.30451714
301	1.301238371
302	1.297119675
303	1.293638348
304	1.289289364
305	1.286057586
306	1.282747564
307	1.278867515
308	1.275636457
309	1.272237486
310	1.268468649
311	1.265196886
312	1.262067637
313	1.25832733
314	1.254813326
315	1.250829942
316	1.24801608
317	1.243914963
318	1.240756406
319	1.237214505
320	1.234879473
321	1.231057998
322	1.227203218
323	1.223040203
324	1.218960169
325	1.214682138
326	1.210382327
327	1.207332328
328	1.20407352
329	1.200724424
330	1.197025889
331	1.193334718
332	1.189182171
333	1.187141683
334	1.184917916
335	1.18237808
336	1.179557898
337	1.177376597
338	1.173891897
339	1.171314671
340	1.168016532
341	1.16568773
342	1.162413649
343	1.159570662
344	1.156536685
345	1.154335261
346	1.15039876
347	1.146942189
348	1.144243031
349	1.140504071
350	1.137498068
351	1.134137027
352	1.131564867
353	1.128373421
354	1.125496864
355	1.121851083
356	1.120132105
357	1.117282865
358	1.114647021
359	1.111065269
360	1.109763796
361	1.106941053
362	1.103529848
363	1.09994902
364	1.096905385
365	1.095018468
366	1.091842363
367	1.08908358
368	1.087336063
369	1.085014191
370	1.082865944
371	1.080396855
372	1.077302705
373	1.07550002
374	1.072733783
375	1.070237341
376	1.067943897
377	1.065527032
378	1.062874446
379	1.05989032
380	1.05772095
381	1.05479244
382	1.052042842
383	1.048753356
384	1.04582923
385	1.044067418
386	1.041216148
387	1.038095557
388	1.034882902
389	1.033338168
390	1.031154723
391	1.028691787
392	1.026304507
393	1.022955943
394	1.020701429
395	1.017587735
396	1.015616276
397	1.014182019
398	1.01121197
399	1.009157922
400	1.007681982
401	1.004704756
402	1.003464132
403	1.000900949
404	0.9983973827
405	0.9966814241
406	0.994427429
407	0.9912958114
408	0.9895638058
409	0.9862121858
410	0.9845990798
411	0.9820896862
412	0.9799579065
413	0.9778179901
414	0.9748446643
415	0.971814001
416	0.9695273394
417	0.9670894594
418	0.9643218691
419	0.9620606369
420	0.9596208327
421	0.9570672867
422	0.9546885693
423	0.9525193472
424	0.9503742549
425	0.9484930646
426	0.9465340582
427	0.9437082621
428	0.9416624194
429	0.9397919001
430	0.9376109869
431	0.9355602228
432	0.933805233
433	0.931585311
434	0.9288506445
435	0.9259890431
436	0.9241685431
437	0.9222366353
438	0.9206200298
439	0.9183679848
440	0.9167245236
441	0.9140373899
442	0.9123809142
443	0.9101207238
444	0.9078772171
445	0.9062090665
446	0.9041739167
447	0.9019836736
448	0.9005937523
449	0.8978644964
450	0.8961385557
451	0.893780897
452	0.8924417317
453	0.8907204595
454	0.8901108632
455	0.8878722124
456	0.8860358339
457	0.8841052734
458	0.8824647159
459	0.8807996499
460	0.8792325522
461	0.8778776647
462	0.8758384091
463	0.8738574601
464	0.8721277329
465	0.8709357901
466	0.8689414118
467	0.8671515871
468	0.8659698478
469	0.8654353773
470	0.8638994374
471	0.8621119193
472	0.8614281375
473	0.8597774498
474	0.8581227464
475	0.8560704144
476	0.8544917003
477	0.8533107698
478	0.8519583615
479	0.8500633743
480	0.8482600267
481	0.8456933945
482	0.8440069705
483	0.8418154172
484	0.8400141389
485	0.8384567433
486	0.8377645541
487	0.8361685897
488	0.8344176487
489	0.8328668144
490	0.8316859048
491	0.829008605
492	0.8271131376
493	0.8252803156
494	0.8229707753
495	0.8221496675
496	0.8201701468
497	0.8178483635
498	0.8158492789
499	0.815141261
500	0.8143461534
501	0.8131988581
502	0.8107584988
503	0.809472645
504	0.8078236303
505	0.8061950143
506	0.8048416175
507	0.803103485
508	0.8010757322
509	0.7999348994
510	0.7990195775
511	0.7973314692
512	0.7961505577
513	0.7947180936
514	0.7932226262
515	0.7918412395
516	0.7900361116
517	0.7878390116
518	0.7862191257
519	0.7840116358
520	0.7832252121
521	0.7811107179
522	0.7792144284
523	0.7774652771
524	0.7763956424
525	0.7748987927
526	0.7730873115
527	0.7711143735
528	0.7701491878
529	0.7688266214
530	0.7673424846
531	0.7654402787
532	0.7640380567
533	0.7628059051
534	0.7619267911
535	0.760805285
536	0.759564403
537	0.7579765146
538	0.7565448399
539	0.7544281845
540	0.7525390124
541	0.7513431941
542	0.7505114241
543	0.7490451821
544	0.7472765167
545	0.7461135927
546	0.7449482184
547	0.7439392112
548	0.7419869805
549	0.7408215797
550	0.7388398924
551	0.7379806101
552	0.7366386199
553	0.7350912155
554	0.7338861735
555	0.7331574906
556	0.7315369754
557	0.7294177367
558	0.7283620812
559	0.7266347829
560	0.7255076267
561	0.7236493943
562	0.7218956077
563	0.7211735539
564	0.7193300485
565	0.7177927119
566	0.7159789038
567	0.7144419143
568	0.7132324198
569	0.7115279647
570	0.7104320443
571	0.708740027
572	0.7073098074
573	0.7054959538
574	0.704464934
575	0.702761941
576	0.7018252955
577	0.7000103709
578	0.6982968887
579	0.6971432686
580	0.6953502681
581	0.6936241486
582	0.6930270652
583	0.6914149551
584	0.6904178436
585	0.6897630768
586	0.6883971529
587	0.6866781353
588	0.6852622728
589	0.6844443032
590	0.6838927145
591	0.6821428466
592	0.6801654311
593	0.6784977516
594	0.677094746
595	0.6756456809
596	0.6740801792
597	0.6729930205
598	0.6721865685
599	0.6714528986
600	0.6703435391
601	0.6691503737
602	0.6677472721
603	0.6666454845
604	0.665288173
605	0.6644431151
606	0.6635234684
607	0.6623786867
608	0.6616431331
609	0.6605786746
610	0.6590567863
611	0.658099176
612	0.6568029168
613	0.6556388739
614	0.6544416369
615	0.6528758748
616	0.651405723
617	0.6498983319
618	0.6486327964
619	0.6477795508
620	0.6466778792
621	0.6455392998
622	0.6444525174
623	0.6435135987
624	0.6419077673
625	0.6408582392
626	0.6399704573
627	0.6391949532
628	0.638926114
629	0.6379041232
630	0.6363150477
631	0.6351303665
632	0.634073107
633	0.6329256254
634	0.6313022665
635	0.6306624386
636	0.62976021
637	0.6289352431
638	0.6281001507
639	0.6268173633
640	0.6263883894
641	0.6255249194
642	0.6246034385
643	0.6241789416
644	0.6227878751
645	0.6214012316
646	0.6204096522
647	0.619066084
648	0.6184100816
649	0.6171363125
650	0.6161150687
651	0.6147757222
652	0.6142211508
653	0.6136623079
654	0.6128443785
655	0.611797373
656	0.6103889312
657	0.6096201546
658	0.6091268386
659	0.608036293
660	0.6074168537
661	0.6070992583
662	0.6059882913
663	0.6048038848
664	0.6040849312
665	0.6029777894
666	0.6021337796
