iter	Passed	Remaining
0	115	115079
1	162	81320
2	196	65361
3	228	56997
4	237	47304
5	271	45014
6	304	43200
7	336	41775
8	370	40808
9	401	39744
10	436	39255
11	470	38715
12	504	38313
13	539	37972
14	573	37630
15	606	37273
16	638	36942
17	670	36579
18	705	36413
19	739	36214
20	773	36068
21	808	35931
22	832	35371
23	867	35297
24	902	35191
25	935	35040
26	977	35229
27	1015	35235
28	1047	35088
29	1081	34958
30	1114	34845
31	1149	34772
32	1182	34650
33	1214	34508
34	1248	34418
35	1280	34298
36	1313	34178
37	1350	34187
38	1384	34119
39	1417	34029
40	1452	33982
41	1487	33939
42	1522	33889
43	1555	33796
44	1590	33746
45	1623	33668
46	1658	33628
47	1691	33541
48	1725	33493
49	1759	33432
50	1795	33402
51	1829	33345
52	1862	33284
53	1895	33214
54	1929	33152
55	1963	33100
56	1996	33026
57	2029	32965
58	2069	33005
59	2101	32919
60	2133	32845
61	2168	32812
62	2201	32750
63	2235	32692
64	2269	32647
65	2302	32588
66	2339	32576
67	2372	32522
68	2406	32465
69	2440	32422
70	2474	32372
71	2508	32326
72	2540	32257
73	2574	32213
74	2608	32171
75	2642	32125
76	2675	32074
77	2709	32030
78	2743	31980
79	2777	31940
80	2811	31893
81	2845	31861
82	2879	31808
83	2913	31765
84	2948	31737
85	2980	31680
86	3015	31645
87	3049	31603
88	3084	31575
89	3120	31548
90	3152	31494
91	3185	31443
92	3219	31394
93	3255	31378
94	3289	31335
95	3325	31317
96	3358	31269
97	3465	31900
98	3500	31858
99	3535	31820
100	3570	31777
101	3604	31736
102	3639	31698
103	3677	31678
104	3711	31635
105	3745	31592
106	3779	31545
107	3813	31493
108	3846	31439
109	3879	31388
110	3914	31347
111	3949	31310
112	3984	31279
113	4019	31239
114	4050	31172
115	4084	31128
116	4117	31074
117	4151	31029
118	4185	30984
119	4218	30939
120	4252	30894
121	4285	30844
122	4323	30827
123	4355	30771
124	4397	30782
125	4439	30793
126	4478	30787
127	4520	30793
128	4565	30824
129	4606	30827
130	4647	30830
131	4689	30839
132	4731	30846
133	4770	30832
134	4813	30842
135	4854	30841
136	4896	30841
137	4938	30845
138	4980	30848
139	5020	30838
140	5064	30852
141	5100	30820
142	5134	30769
143	5166	30713
144	5200	30663
145	5233	30610
146	5266	30561
147	5307	30556
148	5342	30511
149	5375	30460
150	5409	30414
151	5442	30365
152	5475	30313
153	5508	30262
154	5540	30206
155	5575	30162
156	5608	30113
157	5643	30074
158	5675	30021
159	5709	29975
160	5742	29927
161	5774	29871
162	5807	29823
163	5842	29784
164	5878	29746
165	5914	29713
166	5959	29724
167	5993	29684
168	6027	29636
169	6062	29601
170	6098	29565
171	6131	29516
172	6166	29478
173	6199	29431
174	6235	29394
175	6268	29347
176	6304	29314
177	6339	29276
178	6371	29224
179	6407	29188
180	6439	29139
181	6473	29093
182	6510	29068
183	6545	29028
184	6578	28981
185	6611	28933
186	6644	28885
187	6677	28841
188	6710	28794
189	6746	28761
190	6779	28713
191	6812	28668
192	6846	28629
193	6882	28593
194	6917	28557
195	6953	28522
196	6986	28478
197	7057	28588
198	7108	28611
199	7140	28560
200	7174	28519
201	7209	28481
202	7250	28464
203	7281	28412
204	7315	28368
205	7357	28357
206	7396	28334
207	7431	28296
208	7465	28254
209	7498	28207
210	7531	28163
211	7565	28120
